URI,prefLabel,Definition,Source
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/arch_morphology,arch morphology,"a raised elongate body, morphologically equivalent to upside down channel",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/arcuate_sheet,arcuate sheet,sheet in which one of L or W is a curved arc,This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/basin_shape,basin shape,"Geometric analog is convex down discoid, term generally connotes a kilometer-scale feature. Map view may be circular, elliptical, or irregular, characteristic feature is thickening from the edges towards the center.  Typically used to describe a body of sedimentary rock deposited in a low area in the Earth's crust, in which case there is an implication that the top is (or was) a surface of deposition.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/blanket_shape,blanket shape,"a thin, widespread body with width to thickness ratio greater than 1000 to 1 that covers an underlying substrate. A layer of known great lateral extent. Morphology equivalent to bed or layer, but implies that body forms the top of some unit, instead of occurring within a body.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/blob,blob,"Body with smooth surface, broadly equant shape, irregular protuberances, no symmetry axes, and a boundary that can not be separated into sides.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/block,block,"Equant polygonal cylinder, L=W=H, definable edges separate bounding surfaces. Grades to tabular prism as one horizontal dimension becomes distinctly longer than the other, and tablet or polygonal cylinder as one vertical axis becomes distinctly shorter or longer than the horizontal axes.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/boudin_shape,boudin shape,"Layer or bed of rock deformed into sausage-shaped segments (boudins), either separated or joined by pinched connections. Morphology generally defined in a profile view, third dimension is not denoted, use of term also implies that the body is not isolated, but is related to an original body elongate on some dimension that has been stretched and separated into separate bodies",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/bread_loaf_ellipsoid,bread loaf ellipsoid,Ellipsoid with L 10 times W or H,This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/channel_shape,channel shape,"a strongly elongate lens or ribbon with a convex downward lower surface, near planar upper surface.  Morphology is equivalent to upside down arch.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/circular_cylinder,circular cylinder,"Elliptical cylinder that has circular symmetry about long axis, distinct side surfaces are not defined. Cross section is circular",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/circular_profile,circular profile,equant profile with arcuate boundary,This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/column_shape,column shape,"Cylindrical body, equant cross section, long in direction normal to equant cross section. Morphology equivalent to pipe, without denotation of transport function.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/cone,cone shape,"discus with one planar side, and circular symmetry on axis, geologic cones typically have height <(<) diameter",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/cone_segment,cone segment,"Body that is section of a cone formed by splitting the cone along a surface parallel to the cone axis, that interesect approximately along the axis.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/conical_sheet,conical sheet,sheet that conforms to surface of a cone.,This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/cupola,cupola,a large upward projection of the roof of an igneous intrusion into the country rock above. A possibly irregular dome like or columnar body rooted in a larger body.,This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/cylinder,cylinder,"Body defined by translation of a generating plane figure with approximately equant cross section (circle, ellipsoid, polygon) along a straight axial line. H>=W=L. Axis is direction normal to generating plane figure, which forms parallel top and bottom bounding surface.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/dart_ellipsoid,dart ellipsoid,Ellipsoid with L more than 50 times W or H,This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/diapir,diapir,Broadly inverted tear drop morphology. Body of magmatic or mobile sedimentary material intruded into overlying rocks,This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/dike,dike,"A generally sheet-like intrusive rock body that cuts across bedding or foliation in the host rock, or intrudes massive host rock.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/disc,disc,"Cylinder with height less than diameter. L=W>H, edges separates side from top and bottom. Grades to oblate ellipsoid as edges lose definition.",This vocabulary
http://resource.geosciml.org/classifier/cgi/geologicunitmorphology/discoid_anulus,discoid anulus,Cone with central part removed along cylindrical volume approximately along the cone axis,This vocabulary
