URI,prefLabel,Definition,Source
http://resource.geosciml.org/classifier/cgi/consolidationdegree/consolidated,Consolidated,Particulate constituents of a compound material adhere to each other strongly enough that the aggregate can be considered a solid material in its own right.,This vocabulary
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/consolidated	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/consolidation_not_specified,Consolidation not specified,"In normative descriptions, indicates that consolidation state is not a determining factor in identification, it may have any value.",This vocabulary
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/consolidation_not_specified	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/consolidation_variable,Consolidation variable,Consolidation ranges from unconsolidated to indurated on scale of description,This vocabulary
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/consolidation_variable	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/incipient_consolidation,Incipient consolidation,"Shoveled with difficulty, relative density 0.4 - 0.7.",NADM SLTTs 2004 after Bowles 1986
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/incipient_consolidation	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/indurated,Indurated,"Requires blasting or heavy equipment to loosen, Relative density 0.9-1.0. Rings to blow of hammer.",NADM SLTTs 2004 after Bowles 1987
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/indurated	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/moderately_indurated,Moderately indurated,Multiple blows with standard rock hammer (less than 1 kg) are required to break rock.,This vocabulary
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/moderately_indurated	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/slightly_indurated,Slightly indurated,Rock can be broken with single blow from standard rock hammer (less than 1 kg mass).,This vocabulary
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/slightly_indurated	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/unconsolidated,Unconsolidated,Particulate constituents of a compound material do not adhere to each other strongly enough that the aggregate can be considered a solid in its own right.,This vocabulary
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/unconsolidated	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/unconsolidated_loose,"Unconsolidated, loose","Easily shoveled, can be indented with fingers, Relative density 0.2-0.4.",NADM SLTTs 2004 after Bowles 1985
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/unconsolidated_loose	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/unconsolidated_very_loose,"Unconsolidated, very loose","Easily indented with fingers, Relative density 0.0-0.2.",NADM SLTTs 2004 after Bowles 1984
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/unconsolidated_very_loose	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/variable_induration,Variable induration,"Material is lithified, but induration varies at scale of description.",This vocabulary
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/variable_induration	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/well_consolidated,Well consolidated,"Requires pick to loosen for shoveling, relative density 0.7-0.9.",NADM SLTTs 2004 after Bowles 1986
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/well_consolidated	",,,
http://resource.geosciml.org/classifier/cgi/consolidationdegree/well_indurated,Well indurated,Particles in the rock are strongly bound together such that rock surface can only be broken with great difficulty using standard rock hammer (less than 1 kg mass).,This vocabulary
"http://resource.geosciml.org/classifier/cgi/consolidationdegree/well_indurated	",,,
http://resource.geosciml.org/classifierscheme/cgi/201202/consolidationdegree,CGI Consolidation Degree Term Vocabulary,"This file contains the 200811 version of CGI Consolidation degree vocabulary. Use for specifying degree of consolidation of Compound material, distinguishes rock from unconsolidated material., skos:changeNote 2009-12-07 SMR Update metadata properties for version, creator, title, and format.  Change skos:HistoryNote to  for information on origin of terms and definitions.         ",
