URI,prefLabel,Definition,Source
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/borehole_cuttings_observation,Borehole cuttings observation,Data based on interpretation of borehole cuttings,this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/borehole_geophysical_log_measurements,Borehole geophysical log measurements,Data based on interpretation of geophysical measurement obtained by borehole logging tools.,this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/data_from_single_published_description,Data from single published description,Data are extracted from a publised description of the feature,this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/digital_conversion_from_published_source,Digital conversion from published source,"Feature observation is based on published information, converted to a digital representation for database application",This vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/direct_observation,Direct observation,Feature observation is result of direct visual observation by a geologist,this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/drill_core_observation,Drill core observation,Data collected through observation of a single drill core interval.,this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/drill_core_observation_estimated_values,"Drill core observation, estimated values",Values for properties are estimated by observer.,this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/drill_core_observation_measured_values,"Drill core observation, measured values","Values for properties are measured using a device (compass, jacob staff, scintillometer, clinometer, ruler…)",this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/indirect_method,Indirect method,Feature observation based on inference from proxy observation,this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/outcrop_observation,Outcrop observation,"Data collected in field through direct observation of a single outcrop. Observer defines scope of 'single outcrop'--may be one point location, or averaged over an extended but connected) area, e.g. a single polygon on a map. Direct observation may include observation using a remote camera (e.g. downhole viewer, submarine camera)",this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/outcrop_observation_estimated_values,"Outcrop observation, estimated values",Values for properties are estimated by observer.,this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/outcrop_observation_measured_values,"Outcrop observation, measured values","Values for properties are measured using a device (compass, jacob staff, scintillometer, clinometer, ruler…)",this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/remotely_sensed_data,Remotely sensed data,Geologic unit or structure characterized based on remotely sensed data.,this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/synthesis_from_multiple_sources,Synthesis from multiple sources,Feature observation is based on a synthesis of other observations by some compiler. The compiler may be the same individual that made the source observations.,this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/synthesis_of_multiple_outcrop_observations,Synthesis of multiple outcrop observations,"Data are the result of synthesis from multiple direct observations, posibly by more than one observer",this vocabulary
http://resource.geosciml.org/classifier/cgi/featureobservationmethod/synthesis_of_multiple_published_descriptions,Synthesis of multiple published descriptions,Data are the result of synthesis from multiple published descriptions,this vocabulary
http://resource.geosciml.org/classifierscheme/cgi/201202/featureobservationmethod,CGI Feature observation method,"This classifier scheme contains the CGI Feature Observation Method vocabulary, used to specify the approach to acquiring the collection of attribute value assignments that constitute an individual feature instance. Observation method is a convienence property that provides a quick and dirty approach to shortcut use of more comprehensive observation and measurement construct when data are reported using a feature view (as opposed to observation view).@en .",
