URI	prefLabel	Definition	Source
http://resource.geosciml.org/classifier/cgi/particleaspectratio/any_form	any form	"Particle has some form, but it is not specified."	this vocabulary
http://resource.geosciml.org/classifier/cgi/particleaspectratio/bladed	bladed	"Bladed group in Sneed&Folk, (1958), S/L is less than 0.7 and (L-I)/(L-S) is between 0.33 and 0.66."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/bladed_medium	bladed medium	"S/L is between 0.3 and 0.5 and (L-I)/(L-S) is between 0.33 and 0.66 Sneed&Folk, (1958)."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/compact_bladed	compact bladed	"S/L is between 0.5 and 0.7 and (L-I)/(L-S) is between 0.33 and 0.66 Sneed&Folk, (1958)."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/equant	equant	"Particles are compact in Sneed & Folk (1958), ratio of S/L is greater than 0.7."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/fibrous	fibrous	Particles are so elongate they are fibrous.	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/form_not_specified	form not specified	Particle form may take any or no value. For use in normative descriptions.	this vocabulary
http://resource.geosciml.org/classifier/cgi/particleaspectratio/oblate	oblate	"Particles are in 'platy group' in Sneed&Folk, (1958), S/L is less than 0.7 and (L-I)/(L-S) is less than 0.33."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/oblate_medium	oblate medium	"Particles are 'just platy' in Sneed&Folk, (1958), S/L is between 0.3 and 0.5 and (L-I)/(L-S) is less than 0.33."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/particle_geometry_uncertain	particle form indeterminate	"Particle form is uncertain or not categorizable, generally obscured by overprinting deformation, metamorphism, or alteration, but reason is not specified."	this vocabulary
http://resource.geosciml.org/classifier/cgi/particleaspectratio/prolate	prolate	"Particles are in 'elongated group' in Sneed & Folk, (1958), S/L is less than 0.7 and (L-I)/(L-S) is greater than 0.66."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/prolate_medium	prolate medium	"Particle are 'just elongated' in Sneed&Folk, (1958), S/L is between 0.3 and 0.5 and (L-I)/(L-S) is greater than 0.66."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/slightly_flattened	slightly flattened	"Particles are 'Compact-platy' in Sneed&Folk, (1958), S/L is between 0.5 and 0.7 and (L-I)/(L-S) is less than 0.33."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/slightly_prolate	slightly prolate	"Particles are compact-elongated in Sneed&Folk, (1958), S/L is between 0.5 and 0.7 and (L-I)/(L-S) is greater than 0.66."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/strongly_flattened	strongly flattened	"Particles are 'very platy' in Sneed&Folk, (1958), S/L is less than 0.3 and (L-I)/(L-S) is less than 0.33."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/strongly_prolate	strongly prolate	"Particles are very elongated in Sneed&Folk, (1958), S/L is less than 0.3 and (L-I)/(L-S) is greater than 0.66."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
http://resource.geosciml.org/classifier/cgi/particleaspectratio/very_bladed	very bladed	"S/L is less than 0.3 and (L-I)/(L-S) is between 0.33 and 0.66 Sneed&Folk, (1958)."	"Sneed and Folk, 1958, Pettijohn et al., 1972, NADM SLTTs, 2004"
