URI	prefLabel	Definition	Source
http://resource.geosciml.org/classifier/cgi/valuequalifier/always	always	all instances of the observed entity have this property value	"GeoSciML UML model, definition this vocabulary"
http://resource.geosciml.org/classifier/cgi/valuequalifier/approximate	approximate	specified value is approximate	"GeoSciML UML model, definition this vocabulary"
http://resource.geosciml.org/classifier/cgi/valuequalifier/common	common	reported property value is commonly observered	"GeoSciML UML model, definition this vocabulary"
http://resource.geosciml.org/classifier/cgi/valuequalifier/equalTo	equalTo	reported property value is the observered value	"GeoSciML UML model, definition this vocabulary"
http://resource.geosciml.org/classifier/cgi/valuequalifier/greaterThan	greaterThan	reported property value is lower bound	"GeoSciML UML model, definition this vocabulary"
http://resource.geosciml.org/classifier/cgi/valuequalifier/lessThan	lessThan	reported property value is upper bound	"GeoSciML UML model, definition this vocabulary"
http://resource.geosciml.org/classifier/cgi/valuequalifier/never	never	reported property value is never observed	"GeoSciML UML model, definition this vocabulary"
http://resource.geosciml.org/classifier/cgi/valuequalifier/rare	rare	reported property value is rarely observed.	"GeoSciML UML model, definition this vocabulary"
http://resource.geosciml.org/classifier/cgi/valuequalifier/sometimes	sometimes	reported property value is observed occasionally	"GeoSciML UML model, definition this vocabulary"
