URI	prefLabel	Definition	Source
http://resource.geosciml.org/classifier/cgi/consolidationdegree/consolidated	consolidated	Particulate constituents of a compound material adhere to each other strongly enough that the aggregate can be considered a solid material in its own right.	This vocabulary
http://resource.geosciml.org/classifier/cgi/consolidationdegree/consolidation_not_specified	consolidation not specified	"In normative descriptions, indicates that consolidation state is not a determining factor in identification, it may have any value."	This vocabulary
http://resource.geosciml.org/classifier/cgi/consolidationdegree/consolidation_variable	consolidation variable	Consolidation ranges from unconsolidated to indurated on scale of description	This vocabulary
http://resource.geosciml.org/classifier/cgi/consolidationdegree/incipient_consolidation	incipient consolidation	"Shoveled with difficulty, relative density 0.4 - 0.7."	NADM SLTTs 2004 after Bowles 1986
http://resource.geosciml.org/classifier/cgi/consolidationdegree/indurated	indurated	"Requires blasting or heavy equipment to loosen, Relative density 0.9-1.0. Rings to blow of hammer."	NADM SLTTs 2004 after Bowles 1987
http://resource.geosciml.org/classifier/cgi/consolidationdegree/moderately_indurated	moderately indurated	Multiple blows with standard rock hammer (less than 1 kg) are required to break rock.	This vocabulary
http://resource.geosciml.org/classifier/cgi/consolidationdegree/slightly_indurated	slightly indurated	Rock can be broken with single blow from standard rock hammer (less than 1 kg mass).	This vocabulary
http://resource.geosciml.org/classifier/cgi/consolidationdegree/unconsolidated	unconsolidated	Particulate constituents of a compound material do not adhere to each other strongly enough that the aggregate can be considered a solid in its own right.	This vocabulary
http://resource.geosciml.org/classifier/cgi/consolidationdegree/unconsolidated_loose	unconsolidated loose	"Easily shoveled, can be indented with fingers, Relative density 0.2-0.4."	NADM SLTTs 2004 after Bowles 1985
http://resource.geosciml.org/classifier/cgi/consolidationdegree/unconsolidated_very_loose	unconsolidated very loose	"Easily indented with fingers, Relative density 0.0-0.2."	NADM SLTTs 2004 after Bowles 1984
http://resource.geosciml.org/classifier/cgi/consolidationdegree/variable_induration	variable induration	"Material is lithified, but induration varies at scale of description."	This vocabulary
http://resource.geosciml.org/classifier/cgi/consolidationdegree/well_consolidated	well consolidated	"Requires pick to loosen for shoveling, relative density 0.7-0.9."	NADM SLTTs 2004 after Bowles 1986
http://resource.geosciml.org/classifier/cgi/consolidationdegree/well_indurated	well indurated	Particles in the rock are strongly bound together such that rock surface can only be broken with great difficulty using standard rock hammer (less than 1 kg mass).	This vocabulary
